,State,CO2_QTY_TONNES,TF,Date,Average
5029,Albania,11834.426,1034,2020-01,11.45
5072,Albania,10022.229,876,2020-02,11.44
5115,Albania,5048.149,461,2020-03,10.95
5158,Albania,507.426,76,2020-04,6.68
5201,Albania,1106.599,111,2020-05,9.97
5244,Albania,2204.733,230,2020-06,9.59
5287,Albania,11300.977,963,2020-07,11.74
5330,Albania,13321.763,1139,2020-08,11.7
5373,Albania,9504.529,848,2020-09,11.21
5417,Albania,7139.074,751,2020-10,9.51
5460,Albania,5085.959,623,2020-11,8.16
5503,Albania,5212.267,527,2020-12,9.89
5546,Albania,4879.1484,519,2021-01,9.4
5589,Albania,3954.4657,486,2021-02,8.14
5632,Albania,5118.939,564,2021-03,9.08
5675,Albania,6162.00165,603,2021-04,10.22
5718,Albania,9510.59545,806,2021-05,11.8
5761,Albania,14561.34425,1191,2021-06,12.23
5804,Albania,22277.5234,1665,2021-07,13.38
5847,Albania,28739.379,2053,2021-08,14.0
5890,Albania,23539.50745,1699,2021-09,13.85
5933,Albania,18178.42065,1310,2021-10,13.88
5976,Albania,13669.3242,1061,2021-11,12.88
6019,Albania,15910.76025,1204,2021-12,13.21
6062,Albania,14642.8632,1121,2022-01,13.06
6105,Albania,11565.54,908,2022-02,12.74
6148,Albania,15527.78325,1163,2022-03,13.35
6191,Albania,20676.04875,1483,2022-04,13.94
6234,Albania,24439.48605,1794,2022-05,13.62
6277,Albania,25751.33715,1866,2022-06,13.8
6321,Albania,30960.72135,2214,2022-07,13.98
6364,Albania,33039.65545,2363,2022-08,13.98
6407,Albania,27968.4053,1990,2022-09,14.05
6450,Albania,23093.56665,1704,2022-10,13.55
6493,Albania,18679.40485,1413,2022-11,13.22
6536,Albania,19383.2919,1511,2022-12,12.83
6579,Albania,18549.8028,1440,2023-01,12.88
6622,Albania,15600.57975,1233,2023-02,12.65
6665,Albania,18148.4982,1518,2023-03,11.96
5030,Armenia,20693.241,1100,2020-01,18.81
5073,Armenia,17186.818,911,2020-02,18.87
5116,Armenia,12642.022,668,2020-03,18.93
5159,Armenia,2517.713,110,2020-04,22.89
5202,Armenia,2311.543,109,2020-05,21.21
5245,Armenia,3497.915,156,2020-06,22.42
5288,Armenia,3860.707,156,2020-07,24.75
5331,Armenia,5453.344,237,2020-08,23.01
5374,Armenia,6850.911,311,2020-09,22.03
5418,Armenia,8890.001,402,2020-10,22.11
5461,Armenia,15813.746,667,2020-11,23.71
5504,Armenia,11982.561,547,2020-12,21.91
5547,Armenia,8157.91375,371,2021-01,21.99
5590,Armenia,10419.365,499,2021-02,20.88
5633,Armenia,13334.03215,669,2021-03,19.93
5676,Armenia,13184.451,670,2021-04,19.68
5719,Armenia,16450.9065,792,2021-05,20.77
5762,Armenia,18210.8869,872,2021-06,20.88
5805,Armenia,26326.1267,1239,2021-07,21.25
5848,Armenia,30188.02185,1410,2021-08,21.41
5891,Armenia,24413.94585,1149,2021-09,21.25
5934,Armenia,22406.14125,1064,2021-10,21.06
5977,Armenia,20179.03545,959,2021-11,21.04
6020,Armenia,20720.637,986,2021-12,21.01
6063,Armenia,18198.3816,877,2022-01,20.75
6106,Armenia,13796.34735,691,2022-02,19.97
6149,Armenia,21144.32775,1036,2022-03,20.41
6192,Armenia,22778.1225,1145,2022-04,19.89
6235,Armenia,25343.8405,1337,2022-05,18.96
6278,Armenia,31891.22685,1617,2022-06,19.72
6322,Armenia,40028.6313,2001,2022-07,20.0
6365,Armenia,41507.13105,2084,2022-08,19.92
6408,Armenia,37583.9982,1870,2022-09,20.1
6451,Armenia,37762.515,1821,2022-10,20.74
6494,Armenia,31794.3927,1540,2022-11,20.65
6537,Armenia,35930.01855,1687,2022-12,21.3
6580,Armenia,35784.9009,1702,2023-01,21.03
6623,Armenia,28916.00775,1403,2023-02,20.61
6666,Armenia,33831.43155,1658,2023-03,20.4
5031,Austria,233968.943,14661,2020-01,15.96
5074,Austria,216859.36,14469,2020-02,14.99
5117,Austria,131019.67,8078,2020-03,16.22
5160,Austria,23987.722,1126,2020-04,21.3
5203,Austria,28699.167,1870,2020-05,15.35
5246,Austria,28924.839,3601,2020-06,8.03
5289,Austria,73845.038,7366,2020-07,10.03
5332,Austria,92872.198,8721,2020-08,10.65
5375,Austria,82021.263,8289,2020-09,9.9
5419,Austria,67225.114,6617,2020-10,10.16
5462,Austria,47057.577,4032,2020-11,11.67
5505,Austria,49183.794,3943,2020-12,12.47
5548,Austria,46703.9983,3479,2021-01,13.42
5591,Austria,38915.84195,3473,2021-02,11.21
5634,Austria,49806.616,4328,2021-03,11.51
5677,Austria,67376.2407,4941,2021-04,13.64
5720,Austria,73847.95435,5722,2021-05,12.91
5763,Austria,92673.8031,7838,2021-06,11.82
5806,Austria,148385.90805,11113,2021-07,13.35
5849,Austria,158752.66475,12008,2021-08,13.22
5892,Austria,150117.23315,11822,2021-09,12.7
5935,Austria,155965.15015,11322,2021-10,13.78
5978,Austria,139611.7689,9521,2021-11,14.66
6021,Austria,143288.0749,8883,2021-12,16.13
6064,Austria,135688.7615,8619,2022-01,15.74
6107,Austria,115089.5303,8183,2022-02,14.06
6150,Austria,147017.1681,10503,2022-03,14.0
6193,Austria,172253.713,11052,2022-04,15.59
6236,Austria,187731.9966,12960,2022-05,14.49
6279,Austria,195813.97845,13676,2022-06,14.32
6323,Austria,223285.98725,14661,2022-07,15.23
6366,Austria,220581.75715,14448,2022-08,15.27
6409,Austria,210119.4495,14352,2022-09,14.64
6452,Austria,202552.20655,13586,2022-10,14.91
6495,Austria,165542.86205,11069,2022-11,14.96
6538,Austria,178166.1715,11438,2022-12,15.58
6581,Austria,178327.0218,11355,2023-01,15.7
6624,Austria,163202.5857,10985,2023-02,14.86
6667,Austria,194526.47505,12786,2023-03,15.21
5032,Belgium,368320.597,12580,2020-01,29.28
5075,Belgium,346746.155,12123,2020-02,28.6
5118,Belgium,316130.753,8623,2020-03,36.66
5161,Belgium,204807.484,2499,2020-04,81.96
5204,Belgium,238593.524,3104,2020-05,76.87
5247,Belgium,223893.793,4197,2020-06,53.35
5290,Belgium,279485.209,7687,2020-07,36.36
5333,Belgium,299467.902,8154,2020-08,36.73
5376,Belgium,274356.16,6965,2020-09,39.39
5420,Belgium,276659.775,6581,2020-10,42.04
5463,Belgium,283908.87,5374,2020-11,52.83
5506,Belgium,299450.823,6129,2020-12,48.86
5549,Belgium,274233.83305,5191,2021-01,52.83
5592,Belgium,250095.9496,4481,2021-02,55.81
5635,Belgium,286795.26045,4960,2021-03,57.82
5678,Belgium,304259.8772,5522,2021-04,55.1
5721,Belgium,333961.09025,6597,2021-05,50.62
5764,Belgium,360738.31035,8808,2021-06,40.96
5807,Belgium,416539.69945,11834,2021-07,35.2
5850,Belgium,425673.6332,12143,2021-08,35.06
5893,Belgium,408588.85365,12056,2021-09,33.89
5936,Belgium,421983.338,11911,2021-10,35.43
5979,Belgium,405151.9564,11052,2021-11,36.66
6022,Belgium,409152.2333,10874,2021-12,37.63
6065,Belgium,366212.50425,9223,2022-01,39.71
6108,Belgium,340018.88195,9107,2022-02,37.34
6151,Belgium,414306.5019,11480,2022-03,36.09
6194,Belgium,410584.5015,11962,2022-04,34.32
6237,Belgium,423484.66375,13213,2022-05,32.05
6280,Belgium,420862.7438,13019,2022-06,32.33
6324,Belgium,463789.4332,14496,2022-07,31.99
6367,Belgium,466200.55735,14097,2022-08,33.07
6410,Belgium,427699.33705,13525,2022-09,31.62
6453,Belgium,429140.71885,12917,2022-10,33.22
6496,Belgium,393261.4206,11015,2022-11,35.7
6539,Belgium,394881.31,10940,2022-12,36.1
6582,Belgium,365958.0951,10419,2023-01,35.12
6625,Belgium,352613.21045,10091,2023-02,34.94
6668,Belgium,400690.2622,11693,2023-03,34.27
5033,Bosnia-Herzegovina,6149.965,581,2020-01,10.59
5076,Bosnia-Herzegovina,5623.332,563,2020-02,9.99
5119,Bosnia-Herzegovina,3456.589,374,2020-03,9.24
5162,Bosnia-Herzegovina,856.123,111,2020-04,7.71
5205,Bosnia-Herzegovina,623.193,102,2020-05,6.11
5248,Bosnia-Herzegovina,2887.101,307,2020-06,9.4
5291,Bosnia-Herzegovina,4152.647,438,2020-07,9.48
5334,Bosnia-Herzegovina,4976.153,468,2020-08,10.63
5377,Bosnia-Herzegovina,3694.947,380,2020-09,9.72
5421,Bosnia-Herzegovina,3348.188,369,2020-10,9.07
5464,Bosnia-Herzegovina,2752.335,316,2020-11,8.71
5507,Bosnia-Herzegovina,2871.657,301,2020-12,9.54
5550,Bosnia-Herzegovina,2594.60025,284,2021-01,9.14
5593,Bosnia-Herzegovina,1921.3059,228,2021-02,8.43
5636,Bosnia-Herzegovina,2976.0716,330,2021-03,9.02
5679,Bosnia-Herzegovina,3412.73835,377,2021-04,9.05
5722,Bosnia-Herzegovina,5362.1281,474,2021-05,11.31
5765,Bosnia-Herzegovina,9852.6398,764,2021-06,12.9
5808,Bosnia-Herzegovina,16515.9712,1086,2021-07,15.21
5851,Bosnia-Herzegovina,15834.506,1074,2021-08,14.74
5894,Bosnia-Herzegovina,10664.95485,873,2021-09,12.22
5937,Bosnia-Herzegovina,8921.12005,779,2021-10,11.45
5980,Bosnia-Herzegovina,7113.2504,673,2021-11,10.57
6023,Bosnia-Herzegovina,9338.94865,787,2021-12,11.87
6066,Bosnia-Herzegovina,6383.0436,564,2022-01,11.32
6109,Bosnia-Herzegovina,4209.086,417,2022-02,10.09
6152,Bosnia-Herzegovina,6725.22735,673,2022-03,9.99
6195,Bosnia-Herzegovina,10139.20655,870,2022-04,11.65
6238,Bosnia-Herzegovina,12956.8997,1050,2022-05,12.34
6281,Bosnia-Herzegovina,15229.3992,1154,2022-06,13.2
6325,Bosnia-Herzegovina,20827.95755,1381,2022-07,15.08
6368,Bosnia-Herzegovina,19554.08075,1323,2022-08,14.78
6411,Bosnia-Herzegovina,13353.4923,1112,2022-09,12.01
6454,Bosnia-Herzegovina,9382.2415,904,2022-10,10.38
6497,Bosnia-Herzegovina,7385.80745,738,2022-11,10.01
6540,Bosnia-Herzegovina,7984.4531,733,2022-12,10.89
6583,Bosnia-Herzegovina,8074.5408,740,2023-01,10.91
6626,Bosnia-Herzegovina,6910.1452,642,2023-02,10.76
6669,Bosnia-Herzegovina,8200.6047,777,2023-03,10.55
5034,Bulgaria,45409.442,2856,2020-01,15.9
5077,Bulgaria,43588.945,2718,2020-02,16.04
5120,Bulgaria,33671.293,1972,2020-03,17.07
5163,Bulgaria,13302.732,644,2020-04,20.66
5206,Bulgaria,21893.92,969,2020-05,22.59
5249,Bulgaria,30081.068,1517,2020-06,19.83
5292,Bulgaria,51415.285,2885,2020-07,17.82
5335,Bulgaria,51674.557,3047,2020-08,16.96
5378,Bulgaria,43248.679,2546,2020-09,16.99
5422,Bulgaria,36996.369,2065,2020-10,17.92
5465,Bulgaria,25196.975,1384,2020-11,18.21
5508,Bulgaria,29601.817,1606,2020-12,18.43
5551,Bulgaria,26254.60405,1305,2021-01,20.12
5594,Bulgaria,21079.1729,1124,2021-02,18.75
5637,Bulgaria,24323.0532,1343,2021-03,18.11
5680,Bulgaria,30643.20575,1514,2021-04,20.24
5723,Bulgaria,31108.3649,1722,2021-05,18.07
5766,Bulgaria,39625.7324,2557,2021-06,15.5
5809,Bulgaria,70476.31145,4233,2021-07,16.65
5852,Bulgaria,84183.92805,4914,2021-08,17.13
5895,Bulgaria,64868.1778,3823,2021-09,16.97
5938,Bulgaria,46787.90445,2821,2021-10,16.59
5981,Bulgaria,35212.90915,2194,2021-11,16.05
6024,Bulgaria,40378.7639,2372,2021-12,17.02
6067,Bulgaria,39532.48655,2164,2022-01,18.27
6110,Bulgaria,31700.12385,1964,2022-02,16.14
6153,Bulgaria,36997.9874,2360,2022-03,15.68
6196,Bulgaria,49321.07505,2935,2022-04,16.8
6239,Bulgaria,53968.1496,3398,2022-05,15.88
6282,Bulgaria,67714.31665,4190,2022-06,16.16
6326,Bulgaria,85787.8966,5199,2022-07,16.5
6369,Bulgaria,85636.8082,5184,2022-08,16.52
6412,Bulgaria,72109.87665,4277,2022-09,16.86
6455,Bulgaria,57271.125,3282,2022-10,17.45
6498,Bulgaria,39701.58225,2695,2022-11,14.73
6541,Bulgaria,43850.7614,2737,2022-12,16.02
6584,Bulgaria,46023.89105,2786,2023-01,16.52
6627,Bulgaria,39636.76205,2519,2023-02,15.74
6670,Bulgaria,46184.73825,2987,2023-03,15.46
5035,Canary Islands,299916.646,16401,2020-01,18.29
5078,Canary Islands,292907.753,15600,2020-02,18.78
5121,Canary Islands,214939.297,10926,2020-03,19.67
5164,Canary Islands,10229.267,1228,2020-04,8.33
5207,Canary Islands,11006.264,1643,2020-05,6.7
5250,Canary Islands,18642.724,3245,2020-06,5.75
5293,Canary Islands,111492.225,9466,2020-07,11.78
5336,Canary Islands,146331.789,12314,2020-08,11.88
5379,Canary Islands,96737.236,9371,2020-09,10.32
5423,Canary Islands,87720.069,8519,2020-10,10.3
5466,Canary Islands,83692.192,8044,2020-11,10.4
5509,Canary Islands,113055.124,9134,2020-12,12.38
5552,Canary Islands,73770.0892,6367,2021-01,11.59
5595,Canary Islands,45352.41005,4880,2021-02,9.29
5638,Canary Islands,55110.5656,6625,2021-03,8.32
5681,Canary Islands,69403.54855,7284,2021-04,9.53
5724,Canary Islands,80312.41235,8683,2021-05,9.25
5767,Canary Islands,108490.1782,10147,2021-06,10.69
5810,Canary Islands,182184.1282,13576,2021-07,13.42
5853,Canary Islands,214327.9966,14755,2021-08,14.53
5896,Canary Islands,207295.58625,13620,2021-09,15.22
5939,Canary Islands,268475.883,14764,2021-10,18.18
5982,Canary Islands,294622.09045,15219,2021-11,19.36
6025,Canary Islands,320029.025,16545,2021-12,19.34
6068,Canary Islands,277123.7534,14688,2022-01,18.87
6111,Canary Islands,254354.1222,14026,2022-02,18.13
6154,Canary Islands,302121.12195,16860,2022-03,17.92
6197,Canary Islands,300134.93005,16815,2022-04,17.85
6240,Canary Islands,244780.9388,15451,2022-05,15.84
6283,Canary Islands,240602.52035,15364,2022-06,15.66
6327,Canary Islands,268810.33665,17497,2022-07,15.36
6370,Canary Islands,269891.17785,17466,2022-08,15.45
6413,Canary Islands,250441.4204,15935,2022-09,15.72
6456,Canary Islands,300860.4001,17737,2022-10,16.96
6499,Canary Islands,326696.9844,18115,2022-11,18.03
6542,Canary Islands,353564.5696,19064,2022-12,18.55
6585,Canary Islands,326658.70485,17508,2023-01,18.66
6628,Canary Islands,303149.0715,16551,2023-02,18.32
6671,Canary Islands,333519.4886,18759,2023-03,17.78
5036,Croatia,16911.849,2315,2020-01,7.31
5079,Croatia,16920.919,2245,2020-02,7.54
5122,Croatia,13443.353,1692,2020-03,7.95
5165,Croatia,3333.184,235,2020-04,14.18
5208,Croatia,2615.799,570,2020-05,4.59
5251,Croatia,8099.992,1833,2020-06,4.42
5294,Croatia,31727.993,4347,2020-07,7.3
5337,Croatia,48020.277,5761,2020-08,8.34
5380,Croatia,26265.29,3288,2020-09,7.99
5424,Croatia,11063.442,1964,2020-10,5.63
5467,Croatia,6343.056,1385,2020-11,4.58
5510,Croatia,5467.339,1143,2020-12,4.78
5553,Croatia,5109.584,1114,2021-01,4.59
5596,Croatia,4900.77075,1068,2021-02,4.59
5639,Croatia,5991.5642,1467,2021-03,4.08
5682,Croatia,8368.28425,1734,2021-04,4.83
5725,Croatia,12525.04115,2371,2021-05,5.28
5768,Croatia,28110.13435,3863,2021-06,7.28
5811,Croatia,64132.9775,6952,2021-07,9.23
5854,Croatia,78876.1045,7886,2021-08,10.0
5897,Croatia,64908.63515,6338,2021-09,10.24
5940,Croatia,43281.92345,4638,2021-10,9.33
5983,Croatia,14912.5755,2185,2021-11,6.82
6026,Croatia,16574.46315,2287,2021-12,7.25
6069,Croatia,14489.95405,2015,2022-01,7.19
6112,Croatia,13096.48985,1948,2022-02,6.72
6155,Croatia,18437.0325,2518,2022-03,7.32
6198,Croatia,36792.1077,3948,2022-04,9.32
6241,Croatia,54959.52585,5356,2022-05,10.26
6284,Croatia,75449.22875,6950,2022-06,10.86
6328,Croatia,98062.29465,8763,2022-07,11.19
6371,Croatia,97738.8508,8784,2022-08,11.13
6414,Croatia,77103.86265,7038,2022-09,10.96
6457,Croatia,54883.5034,5292,2022-10,10.37
6500,Croatia,19682.6123,2583,2022-11,7.62
6543,Croatia,18464.0286,2404,2022-12,7.68
6586,Croatia,16213.8168,2332,2023-01,6.95
6629,Croatia,14688.43295,2166,2023-02,6.78
6672,Croatia,21116.9525,2849,2023-03,7.41
5037,Cyprus,53602.196,2396,2020-01,22.37
5080,Cyprus,48894.946,2238,2020-02,21.85
5123,Cyprus,38310.187,1628,2020-03,23.53
5166,Cyprus,10533.37,314,2020-04,33.55
5209,Cyprus,12745.25,379,2020-05,33.63
5252,Cyprus,16697.61,702,2020-06,23.79
5295,Cyprus,36787.005,1692,2020-07,21.74
5338,Cyprus,47652.798,2108,2020-08,22.61
5381,Cyprus,50121.309,1978,2020-09,25.34
5425,Cyprus,46176.037,1885,2020-10,24.5
5468,Cyprus,22302.695,1000,2020-11,22.3
5511,Cyprus,20501.707,943,2020-12,21.74
5554,Cyprus,16613.39995,734,2021-01,22.63
5597,Cyprus,15307.43295,717,2021-02,21.35
5640,Cyprus,17777.4004,915,2021-03,19.43
5683,Cyprus,23173.6228,1188,2021-04,19.51
5726,Cyprus,39524.8693,1818,2021-05,21.74
5769,Cyprus,54117.88125,2500,2021-06,21.65
5812,Cyprus,78007.07675,3529,2021-07,22.1
5855,Cyprus,91576.1996,3702,2021-08,24.74
5898,Cyprus,88812.8329,3545,2021-09,25.05
5941,Cyprus,98114.8676,3903,2021-10,25.14
5984,Cyprus,55861.99015,2511,2021-11,22.25
6027,Cyprus,44703.02025,2169,2021-12,20.61
6070,Cyprus,35841.88115,1745,2022-01,20.54
6113,Cyprus,34838.6631,1732,2022-02,20.11
6156,Cyprus,46783.5886,2274,2022-03,20.57
6199,Cyprus,70671.0389,3175,2022-04,22.26
6242,Cyprus,84182.3939,3653,2022-05,23.04
6285,Cyprus,87623.2219,3776,2022-06,23.21
6329,Cyprus,96171.0552,4079,2022-07,23.58
6372,Cyprus,99363.04305,4209,2022-08,23.61
6415,Cyprus,91845.6128,3907,2022-09,23.51
6458,Cyprus,91351.04755,3966,2022-10,23.03
6501,Cyprus,51934.0753,2525,2022-11,20.57
6544,Cyprus,45543.587,2330,2022-12,19.55
6587,Cyprus,42803.2304,2153,2023-01,19.88
6630,Cyprus,42244.7085,2119,2023-02,19.94
6673,Cyprus,55327.54945,2630,2023-03,21.04
5038,Czechia,87490.318,5926,2020-01,14.76
5081,Czechia,76450.245,5400,2020-02,14.16
5124,Czechia,50430.336,3476,2020-03,14.51
5167,Czechia,16169.572,1038,2020-04,15.58
5210,Czechia,12039.268,1120,2020-05,10.75
5253,Czechia,10483.737,1750,2020-06,5.99
5296,Czechia,28189.762,3344,2020-07,8.43
5339,Czechia,36128.334,3560,2020-08,10.15
5382,Czechia,33912.496,3410,2020-09,9.95
5426,Czechia,25083.705,2623,2020-10,9.56
5469,Czechia,17836.032,1959,2020-11,9.1
5512,Czechia,20160.752,2044,2020-12,9.86
5555,Czechia,17719.9089,1684,2021-01,10.52
5598,Czechia,17286.56815,1669,2021-02,10.36
5641,Czechia,21326.59235,2051,2021-03,10.4
5684,Czechia,26194.21995,2168,2021-04,12.08
5727,Czechia,29799.6538,2694,2021-05,11.06
5770,Czechia,44306.635,3890,2021-06,11.39
5813,Czechia,59913.6313,4851,2021-07,12.35
5856,Czechia,61805.6085,5043,2021-08,12.26
5899,Czechia,62242.8354,5232,2021-09,11.9
5942,Czechia,56090.41505,4730,2021-10,11.86
5985,Czechia,52780.2066,4211,2021-11,12.53
6028,Czechia,54394.52815,3992,2021-12,13.63
6071,Czechia,44020.73975,3254,2022-01,13.53
6114,Czechia,41196.86055,3376,2022-02,12.2
6157,Czechia,52816.8456,4275,2022-03,12.35
6200,Czechia,60788.1516,4719,2022-04,12.88
6243,Czechia,68388.36795,5403,2022-05,12.66
6286,Czechia,90301.43485,6509,2022-06,13.87
6330,Czechia,100805.57505,6944,2022-07,14.52
6373,Czechia,99806.3597,6907,2022-08,14.45
6416,Czechia,88125.8224,6694,2022-09,13.16
6459,Czechia,73320.6076,5604,2022-10,13.08
6502,Czechia,55412.92655,4317,2022-11,12.84
6545,Czechia,56872.4665,4261,2022-12,13.35
6588,Czechia,50146.89415,3854,2023-01,13.01
6631,Czechia,48783.6303,3811,2023-02,12.8
6674,Czechia,62629.08205,4819,2023-03,13.0
5039,Denmark,227337.59,14104,2020-01,16.12
5082,Denmark,213132.729,13551,2020-02,15.73
5125,Denmark,140560.898,8746,2020-03,16.07
5168,Denmark,17671.312,1671,2020-04,10.58
5211,Denmark,26386.7,2112,2020-05,12.49
5254,Denmark,33436.91,3379,2020-06,9.9
5297,Denmark,72243.641,6287,2020-07,11.49
5340,Denmark,81983.199,7291,2020-08,11.24
5383,Denmark,84722.966,7574,2020-09,11.19
5427,Denmark,81050.882,6739,2020-10,12.03
5470,Denmark,66152.155,4993,2020-11,13.25
5513,Denmark,64139.796,4558,2020-12,14.07
5556,Denmark,54200.89675,3395,2021-01,15.96
5599,Denmark,49549.0555,2658,2021-02,18.64
5642,Denmark,64147.04675,3666,2021-03,17.5
5685,Denmark,63757.95365,4015,2021-04,15.88
5728,Denmark,74267.84105,4696,2021-05,15.82
5771,Denmark,96873.0334,6579,2021-06,14.72
5814,Denmark,155521.13585,9815,2021-07,15.85
5857,Denmark,158510.31285,10722,2021-08,14.78
5900,Denmark,158420.71635,11452,2021-09,13.83
5943,Denmark,170545.15125,11930,2021-10,14.3
5986,Denmark,155037.30835,11176,2021-11,13.87
6029,Denmark,162200.6968,10413,2021-12,15.58
6072,Denmark,145972.6762,8809,2022-01,16.57
6115,Denmark,134224.2603,8714,2022-02,15.4
6158,Denmark,161188.0861,11210,2022-03,14.38
6201,Denmark,191490.56435,12800,2022-04,14.96
6244,Denmark,201619.47705,14671,2022-05,13.74
6287,Denmark,211823.69735,15106,2022-06,14.02
6331,Denmark,218548.84165,14529,2022-07,15.04
6374,Denmark,228782.78175,15180,2022-08,15.07
6417,Denmark,214205.38685,15039,2022-09,14.24
6460,Denmark,217986.67755,14829,2022-10,14.7
6503,Denmark,172948.45645,12485,2022-11,13.85
6546,Denmark,171430.5417,11092,2022-12,15.46
6589,Denmark,169737.8838,11292,2023-01,15.03
6632,Denmark,156779.2869,11031,2023-02,14.21
6675,Denmark,188555.73255,13356,2023-03,14.12
5040,Estonia,14654.966,1772,2020-01,8.27
5083,Estonia,14273.423,1712,2020-02,8.34
5126,Estonia,10160.925,1150,2020-03,8.84
5169,Estonia,1988.089,240,2020-04,8.28
5212,Estonia,2293.044,507,2020-05,4.52
5255,Estonia,3894.08,794,2020-06,4.9
5298,Estonia,7705.038,1067,2020-07,7.22
5341,Estonia,7164.817,1092,2020-08,6.56
5384,Estonia,6371.021,1061,2020-09,6.0
5428,Estonia,5001.917,922,2020-10,5.43
5471,Estonia,6092.475,853,2020-11,7.14
5514,Estonia,5106.975,845,2020-12,6.04
5557,Estonia,3872.3184,719,2021-01,5.39
5600,Estonia,3524.8267,648,2021-02,5.44
5643,Estonia,5446.86765,812,2021-03,6.71
5686,Estonia,6127.49375,854,2021-04,7.18
5729,Estonia,8602.8895,991,2021-05,8.68
5772,Estonia,9677.9195,1166,2021-06,8.3
5815,Estonia,12108.1954,1326,2021-07,9.13
5858,Estonia,12367.0784,1412,2021-08,8.76
5901,Estonia,15383.38455,1526,2021-09,10.08
5944,Estonia,20600.45085,1519,2021-10,13.56
5987,Estonia,24449.1866,1567,2021-11,15.6
6030,Estonia,25198.78015,1561,2021-12,16.14
6073,Estonia,19244.7449,1404,2022-01,13.71
6116,Estonia,12124.92655,1255,2022-02,9.66
6159,Estonia,14640.01495,1585,2022-03,9.24
6202,Estonia,16077.18175,1711,2022-04,9.4
6245,Estonia,19106.02235,2035,2022-05,9.39
6288,Estonia,17948.0308,1885,2022-06,9.52
6332,Estonia,16897.5099,1888,2022-07,8.95
6375,Estonia,16950.71245,1896,2022-08,8.94
6418,Estonia,18159.63385,1888,2022-09,9.62
6461,Estonia,18692.64435,1931,2022-10,9.68
6504,Estonia,13950.28355,1525,2022-11,9.15
6547,Estonia,13348.34025,1395,2022-12,9.57
6590,Estonia,13158.3361,1434,2023-01,9.18
6633,Estonia,12268.682,1341,2023-02,9.15
6676,Estonia,15313.3968,1639,2023-03,9.34
5041,Finland,229513.491,11161,2020-01,20.56
5084,Finland,203022.054,10777,2020-02,18.84
5127,Finland,138913.987,7532,2020-03,18.44
5170,Finland,25884.529,1353,2020-04,19.13
5213,Finland,37935.333,1573,2020-05,24.12
5256,Finland,36835.079,2275,2020-06,16.19
5299,Finland,44223.399,3063,2020-07,14.44
5342,Finland,54742.04,4027,2020-08,13.59
5385,Finland,46261.674,3465,2020-09,13.35
5429,Finland,48975.719,3306,2020-10,14.81
5472,Finland,53351.006,3182,2020-11,16.77
5515,Finland,53122.944,3076,2020-12,17.27
5558,Finland,46255.1163,2912,2021-01,15.88
5601,Finland,44910.91725,2911,2021-02,15.43
5644,Finland,54772.70245,3111,2021-03,17.61
5687,Finland,51851.1579,2802,2021-04,18.51
5730,Finland,48857.1746,3138,2021-05,15.57
5773,Finland,55218.5962,3947,2021-06,13.99
5816,Finland,67258.3833,4163,2021-07,16.16
5859,Finland,77378.7081,5182,2021-08,14.93
5902,Finland,92186.5481,5664,2021-09,16.28
5945,Finland,109218.8952,6132,2021-10,17.81
5988,Finland,119063.56635,6712,2021-11,17.74
6031,Finland,156743.09295,8021,2021-12,19.54
6074,Finland,139348.1354,6943,2022-01,20.07
6117,Finland,124760.3576,6329,2022-02,19.71
6160,Finland,130950.2462,7262,2022-03,18.03
6203,Finland,135826.9947,7264,2022-04,18.7
6246,Finland,144164.3761,8490,2022-05,16.98
6289,Finland,143876.00325,8050,2022-06,17.87
6333,Finland,151638.42095,7620,2022-07,19.9
6376,Finland,148779.58335,7854,2022-08,18.94
6419,Finland,148963.75665,7821,2022-09,19.05
6462,Finland,157163.1913,7837,2022-10,20.05
6505,Finland,149885.41435,7419,2022-11,20.2
6548,Finland,186369.42385,8716,2022-12,21.38
6591,Finland,175716.25755,8143,2023-01,21.58
6634,Finland,161024.1387,7583,2023-02,21.23
6677,Finland,176367.03095,8552,2023-03,20.62
5042,France,1671341.01,71659,2020-01,23.32
5085,France,1528325.019,68763,2020-02,22.23
5128,France,1073810.574,44699,2020-03,24.02
5171,France,236997.772,7462,2020-04,31.76
5214,France,346090.433,12272,2020-05,28.2
5257,France,443925.252,24660,2020-06,18.0
5300,France,747906.212,48342,2020-07,15.47
5343,France,899694.461,54131,2020-08,16.62
5386,France,811380.454,50306,2020-09,16.13
5430,France,818984.971,44980,2020-10,18.21
5473,France,629814.103,27999,2020-11,22.49
5516,France,784089.209,33728,2020-12,23.25
5559,France,757434.31275,33522,2021-01,22.6
5602,France,625913.0193,30460,2021-02,20.55
5645,France,682901.64245,34440,2021-03,19.83
5688,France,660645.29195,32885,2021-04,20.09
5731,France,725944.9318,40787,2021-05,17.8
5774,France,898659.6743,53627,2021-06,16.76
5817,France,1306158.2681,72005,2021-07,18.14
5860,France,1347154.0012,71272,2021-08,18.9
5903,France,1169885.17745,67715,2021-09,17.28
5946,France,1220839.09265,66386,2021-10,18.39
5989,France,1207195.6642,58203,2021-11,20.74
6032,France,1306203.31405,58483,2021-12,22.33
6075,France,1162922.07495,50976,2022-01,22.81
6118,France,1088758.2763,52663,2022-02,20.67
6161,France,1317729.84115,65057,2022-03,20.26
6204,France,1439375.7622,69927,2022-04,20.58
6247,France,1566275.4359,80160,2022-05,19.54
